component_id,component_size,node_id,label
1,872,106026740199636992,nn.land
1,872,119419377912877056,ur_angelbby
1,872,121271840324419584,by.rochee
1,872,134975594403930112,ellba.anaside
1,872,1690141112168498,v4eryn_
1,872,1690191252265986,suka.matchaaa25_
1,872,217935213824450560,lzurch
1,872,248214494554877952,juslostttttttt_
1,872,6509672677845843969,nirwanajune
1,872,6518262392518262786,ogios2a7gg
1,872,6522266976063062018,oblongerss
1,872,6522784619803181057,6rowup
1,872,6523428105334456322,yourtiramisuuu
1,872,6525613075922419714,mulby22
1,872,6528922039171481602,iiraffel
1,872,6529308456757985282,anakk.tengahh
1,872,6530552777457238017,mhrlnmusaa_
1,872,6534977541097570305,4ndyyjie
1,872,6535315828156481537,ptrslsbl28_
1,872,6539111130748452865,iniyugo
1,872,6541639334453215233,anaknyamikasa
1,872,6544701523435290625,zjishdjsksbs
1,872,6545402399622742017,im_solonelyv
1,872,6549151766277226498,aniafania2
1,872,6549604284051374082,vinris7522
1,872,6551544070509002753,giatii_nurr1
1,872,6554992932365287430,hmmmh_iya
1,872,6559114891730108417,vnasftrii
1,872,6562119496403255298,talitatitaa
1,872,6564590006748348418,_insomnisaaa_
1,872,6573577516697600001,citibbiee
1,872,6587370056387461121,abciskaa_
1,872,6587752430208942081,edogans111
1,872,6589861717978136578,nimaskasihkrisetiarti
1,872,6594351527597654017,halazia1589
1,872,6596423911494434817,mas_all927
1,872,6601382080231391234,ani_a177
1,872,6602756020421099521,mieayam_312
1,872,6603246825996615681,restyeolie
1,872,6603342286892646401,chilia589
1,872,6606388140461195266,cedihbgt
1,872,6607359622843416578,gianirasyaaa
1,872,6611842835128795137,andmhdaliakbr
1,872,6616116714084532226,sleppales
1,872,6616200298652958722,min_insya14
1,872,6621731363206873090,deviana_vi
1,872,6633310396705865730,ndaa__333
1,872,6638886953512255490,naawya
1,872,6647060730984808449,bunga199414
1,872,6647373619029852161,fanialysha
1,872,6669273744996024321,laba_laba_jawa6
1,872,6669629025386594306,llaaoey
