component_id,component_size,node_id,label
1,100,119419377912877056,ur_angelbby
1,100,6509672677845843969,nirwanajune
1,100,6523428105334456322,yourtiramisuuu
1,100,6530552777457238017,mhrlnmusaa_
1,100,6539111130748452865,iniyugo
1,100,6589861717978136578,nimaskasihkrisetiarti
1,100,6616200298652958722,min_insya14
1,100,6688554928719643649,zrrrrrr64
1,100,6706433608792802305,4apph
1,100,6733504201782395905,abizawalwiguna
1,100,6744584940111905794,rksrtika_
1,100,6754421722797048833,adz_.0._
1,100,6796501145089229825,xwaa15
1,100,6806265446909510657,vegauchul
1,100,6826232852025263106,gimmemoreburgersplease
1,100,6832456761011995649,tumbler_ungu_
1,100,6836139867615151105,asliganteng_
1,100,6843726665424585734,ikzyrouwu
1,100,6844898370776122370,user927537292
1,100,6845216238998684674,boy.naufall
1,100,6848106255912207361,kekasihatake
1,100,6849158272508838913,ydpramushinta
1,100,6851799698815845377,echaaaaa36
1,100,6853326473168716802,mnkyhann
1,100,6856714213596726273,_gtpspandawa
1,100,6858020241664181249,tsunade_114
1,100,6859585767275381762,hueningkayi
1,100,6869604967994541057,mvnanrlya
1,100,6869941060425237506,jwcent
1,100,6872243314772345857,devischespace
1,100,6874733816599708673,mas_anjay123
1,100,6876731745220920321,neni.insap
1,100,6881613830130418689,gemini_160602
1,100,6882458879956780033,power_scoop1995
1,100,6885133273098388482,yaudahdehhhhhhhh
1,100,6891957094863389697,__zzzt_
1,100,6907064109915046914,pamela.dh24
1,100,6918855608540644354,wahyudi_kun
1,100,6919245969214080001,vikoadity4
1,100,6922656772109452290,foreverhatingyouu
1,100,6932353646320108546,diah_harahap8
1,100,6934842504743879681,au.rexx2
1,100,6936501950632805377,leasayang
1,100,6941389168077702146,rddss991
1,100,6949516198539346945,fadliah_04
1,100,6958268752132178946,fbymcdt
1,100,6959317815221093378,mang_kentung_153
1,100,6966148415672173569,undudailylife
1,100,6970866552057267202,kalistrii
1,100,6971392711799964673,dhira_ann
1,100,6983637584456647681,feybiza
1,100,6986850469483676673,andofbeginning
1,100,6987280497861067778,oknisie
1,100,7000352128338478081,niiiiy0
1,100,7000964924840608769,d.kikir
1,100,7002112944796779546,ruangrasa.dy
1,100,7003367467040949249,saiunaziz
1,100,7012854598687966235,wongeturu797
1,100,7020605956485940251,maddensuns
1,100,7056589938901664769,_nicname_kontol
1,100,7058797886825792518,cacacipzzz
1,100,7060374955943003137,leenhamamalin
1,100,7060924497801593882,bstrdkenzo
1,100,7096068961858765826,rieweasly._
1,100,7096479885301138458,justdansler
1,100,7124524290486535170,fais.nurokhim
1,100,7135220356252517402,englishwithumarr
1,100,7135414649268880411,cooking.mamabill
1,100,7198497671228834818,rtrarwp
1,100,7206554298104415258,adzka_zan
1,100,7219631248322511874,girl98_
1,100,7222475408116515866,black_gold_80
1,100,7257089825308165126,mahiru.kawa
1,100,7267057918439506950,markisseu_
1,100,7270110578827150342,hazidi_21
1,100,7305828667954021382,rilazmm
1,100,7309331808796460037,_swetly17
1,100,7319387104206259206,dpr.soon
1,100,7319919338914857990,nnannas_s
1,100,7358103277785891846,second_carloo
1,100,7361451922681119749,mesa.present10
1,100,7372140179509216261,azkiadjoy4
1,100,7379787571319522310,rena_the
1,100,7384728630012806150,mamazio29
1,100,7398639237263229958,arsagarazoey
1,100,7448255517355164673,ryu.zin__
1,100,7476774838238430216,odonap
1,100,7484436088774624274,helloowweverall
1,100,7493882569899394065,justicid4
1,100,7496951292298249223,neozevnyle_
1,100,7505361348164092936,ghan_665
1,100,7512754059523769352,fan04102
1,100,7520091064683021319,scorpioooo_11_
1,100,7581801127412319248,just.want.her.bac
1,100,7629938843277640725,bungsu04806
1,100,7642599508594115605,ipan71008
1,100,7648650172402435093,29riee
1,100,7650741089351484436,myuuchel
1,100,7654157094572098561,zaherbalife
1,100,86855738395926528,123004.docx
