mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,50,50,283,48,26,0.01374040002701804,0.002930500020738691,0.0037314000073820353,0.01072250003926456,0.031124800094403327,0.052707328578121125,0.7245551823154422,11.32,0.2310204081632653,2.0,1.0,2.0,0.038461538461538464,0.04,0.05493035528011725,0.004051927329244004,0.07803845260844527,0.0,,0.0,0.0,0.42894320223973276,0.42894320223973276
pipeline,50,50,283,48,26,0.010580700007267296,0.0023749000392854214,0.0028170999721623957,0.009982899995520711,0.025755600014235824,0.052707328578121125,0.7245551823154422,11.32,0.2310204081632653,2.0,1.0,2.0,0.038461538461538464,0.04,0.05493035528011725,0.004051927329244004,0.07803845260844527,0.0,,0.0,0.0,0.42894320223973276,0.42894320223973276
canopy_only,50,50,0,48,48,0.010318899992853403,0.0,0.0,0.0,0.010318899992853403,,,,,,,,,,,,,,,,,,
canopy_only,50,50,0,48,48,0.009857699973508716,0.0,0.0,0.0,0.009857699973508716,,,,,,,,,,,,,,,,,,
kruskal_only,50,50,283,48,24,0.009655400004703552,0.003111199999693781,0.003130100027192384,0.011998599977232516,0.027895300008822232,0.17236209253614712,0.7390785940902255,11.32,0.2310204081632653,2.0,1.0,3.0,0.041666666666666664,0.06,0.12478454877067414,0.013093470505047078,0.20949393778178035,0.0,,0.0,,0.4379015732074835,0.43790157320748346
kruskal_only,50,50,283,48,24,0.010136600001715124,0.0029126000008545816,0.003053799970075488,0.011087300023064017,0.02719029999570921,0.17236209253614712,0.7390785940902255,11.32,0.2310204081632653,2.0,1.0,3.0,0.041666666666666664,0.06,0.12478454877067414,0.013093470505047078,0.20949393778178035,0.0,,0.0,,0.4379015732074835,0.43790157320748346
pipeline,100,100,550,97,49,0.067668599949684,0.004626400012057275,0.009655400004703552,0.018555200018454343,0.10050559998489916,0.19320521428202192,0.7535680490209278,11.0,0.1111111111111111,4.0,1.0,2.0,0.02040816326530612,0.02,0.10376547984613468,0.012528299370310324,0.1512894114463561,0.0,,0.0,0.0,0.43881458187035,0.43881458187035
pipeline,100,100,550,97,49,0.11505459999898449,0.004586800001561642,0.005810600006952882,0.020508899993728846,0.14596090000122786,0.19320521428202192,0.7535680490209278,11.0,0.1111111111111111,4.0,1.0,2.0,0.02040816326530612,0.02,0.10376547984613468,0.012528299370310324,0.1512894114463561,0.0,,0.0,0.0,0.43881458187035,0.43881458187035
canopy_only,100,100,0,97,97,0.0649507999769412,0.0,0.0,0.0,0.0649507999769412,,,,,,,,,,,,,,,,,,
canopy_only,100,100,0,97,97,0.06182740000076592,0.0,0.0,0.0,0.06182740000076592,,,,,,,,,,,,,,,,,,
kruskal_only,100,100,550,97,51,0.06149250001180917,0.004429200023878366,0.006009200005792081,0.01861609995830804,0.09054699999978766,0.18727401780196912,0.758988066808519,11.0,0.1111111111111111,4.0,1.0,2.0,0.0196078431372549,0.02,0.10503824677759789,0.01337157218318809,0.1444823063368994,0.0,,0.0,,0.4411289502406489,0.4411289502406489
kruskal_only,100,100,550,97,51,0.06294959998922423,0.004308999981731176,0.005536300013773143,0.018761900020763278,0.09155680000549182,0.18727401780196912,0.758988066808519,11.0,0.1111111111111111,4.0,1.0,2.0,0.0196078431372549,0.02,0.10503824677759789,0.01337157218318809,0.1444823063368994,0.0,,0.0,,0.4411289502406489,0.4411289502406489
pipeline,150,149,943,146,75,0.1305615000310354,0.007564000028651208,0.00879340001847595,0.025506199977826327,0.17242510005598888,0.1569923467279116,0.7805060360421197,12.657718120805368,0.08552512243787412,5.0,1.0,2.0,0.013333333333333334,0.013422818791946308,0.05497766571146675,0.006520087824770274,0.06297254790277532,0.00023391812865497074,,0.0,0.0,0.4347924854837359,0.4347924854837359
