mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,50,50,283,48,26,0.027651700016576797,0.004309699987061322,0.007154499995522201,0.02204350003739819,0.06115940003655851,0.052707328578121125,0.7245551823154422,11.32,0.2310204081632653,2.0,1.0,2.0,0.038461538461538464,0.04,0.05493035528011725,0.004051927329244004,0.07803845260844527,0.0,,0.0,0.0,0.42894320223973276,0.42894320223973276
pipeline,50,50,283,48,26,0.018880899995565414,0.004035099991597235,0.005250499991234392,0.02226870000595227,0.05043519998434931,0.052707328578121125,0.7245551823154422,11.32,0.2310204081632653,2.0,1.0,2.0,0.038461538461538464,0.04,0.05493035528011725,0.004051927329244004,0.07803845260844527,0.0,,0.0,0.0,0.42894320223973276,0.42894320223973276
canopy_only,50,50,0,48,48,0.029650299984496087,0.0,0.0,0.0,0.029650299984496087,,,,,,,,,,,,,,,,,,
canopy_only,50,50,0,48,48,0.021642900013830513,0.0,0.0,0.0,0.021642900013830513,,,,,,,,,,,,,,,,,,
kruskal_only,50,50,283,48,24,0.020974399987608194,0.004740900010801852,0.006264399969950318,0.024885900027584285,0.05686559999594465,0.17236209253614712,0.7390785940902255,11.32,0.2310204081632653,2.0,1.0,3.0,0.041666666666666664,0.06,0.12478454877067414,0.013093470505047078,0.20949393778178035,0.0,,0.0,,0.4379015732074835,0.43790157320748346
kruskal_only,50,50,283,48,24,0.0214327999856323,0.004233599989674985,0.006245299999136478,0.02389700000640005,0.05580869998084381,0.17236209253614712,0.7390785940902255,11.32,0.2310204081632653,2.0,1.0,3.0,0.041666666666666664,0.06,0.12478454877067414,0.013093470505047078,0.20949393778178035,0.0,,0.0,,0.4379015732074835,0.43790157320748346
pipeline,100,100,550,97,49,0.10856119997333735,0.008299099979922175,0.01794200000585988,0.044317200023215264,0.17911949998233467,0.19320521428202192,0.7535680490209278,11.0,0.1111111111111111,4.0,1.0,2.0,0.02040816326530612,0.02,0.10376547984613468,0.012528299370310324,0.1512894114463561,0.0,,0.0,0.0,0.43881458187035,0.43881458187035
pipeline,100,100,550,97,49,0.1105847000144422,0.007269000052474439,0.011787699942942709,0.045864100044127554,0.1755055000539869,0.19320521428202192,0.7535680490209278,11.0,0.1111111111111111,4.0,1.0,2.0,0.02040816326530612,0.02,0.10376547984613468,0.012528299370310324,0.1512894114463561,0.0,,0.0,0.0,0.43881458187035,0.43881458187035
canopy_only,100,100,0,97,97,0.13325349998194724,0.0,0.0,0.0,0.13325349998194724,,,,,,,,,,,,,,,,,,
canopy_only,100,100,0,97,97,0.1359962000278756,0.0,0.0,0.0,0.1359962000278756,,,,,,,,,,,,,,,,,,
kruskal_only,100,100,550,97,51,0.10109840001678094,0.00813989999005571,0.011691900028381497,0.04373269999632612,0.16466290003154427,0.18727401780196912,0.758988066808519,11.0,0.1111111111111111,4.0,1.0,2.0,0.0196078431372549,0.02,0.10503824677759789,0.01337157218318809,0.1444823063368994,0.0,,0.0,,0.4411289502406489,0.4411289502406489
kruskal_only,100,100,550,97,51,0.10774919996038079,0.007821800012607127,0.012156000011600554,0.044242899981327355,0.17196989996591583,0.18727401780196912,0.758988066808519,11.0,0.1111111111111111,4.0,1.0,2.0,0.0196078431372549,0.02,0.10503824677759789,0.01337157218318809,0.1444823063368994,0.0,,0.0,,0.4411289502406489,0.4411289502406489
pipeline,150,149,943,146,75,0.4931565999868326,0.014216499985195696,0.01729170000180602,0.06024919997435063,0.5849139999481849,0.1569923467279116,0.7805060360421197,12.657718120805368,0.08552512243787412,5.0,1.0,2.0,0.013333333333333334,0.013422818791946308,0.05497766571146675,0.006520087824770275,0.06297254790277532,0.00023391812865497074,,0.0,0.0,0.4347924854837359,0.4347924854837359
