mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,silhouette_score,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,100,100,927,96,50,0.06329280004138127,0.04140500002540648,0.014579399954527617,0.0372073000180535,0.15648450003936887,0.1344174855172136,0.8575390647150839,,18.54,0.18727272727272729,1.0,1.0,2.0,0.02,0.02,0.12196000567936109,0.024102827752198134,0.15697411339376274,0.0,,0.0,0.010496831195035049,0.4500989229656848,0.4500989229656848
pipeline,100,100,927,96,50,0.04819400003179908,0.04448069998761639,0.012687199981883168,0.04978200001642108,0.15514390001771972,0.1344174855172136,0.8575390647150839,,18.54,0.18727272727272729,1.0,1.0,2.0,0.02,0.02,0.12196000567936109,0.024102827752198134,0.15697411339376274,0.0,,0.0,0.010496831195035049,0.4500989229656848,0.4500989229656848
canopy_only,100,100,0,96,96,0.05083209997974336,0.0,0.0,0.0,0.05083209997974336,,,,,,,,,,,,,,,,,,,
canopy_only,100,100,0,96,96,0.04812659998424351,0.0,0.0,0.0,0.04812659998424351,,,,,,,,,,,,,,,,,,,
kruskal_only,100,100,933,96,50,0.047130700026173145,0.04623909998917952,0.013095400005113333,0.04264210001565516,0.14910730003612116,0.13609836183536345,0.867815652283051,,18.66,0.18848484848484848,1.0,1.0,2.0,0.02,0.02,0.1627734389426085,0.03316070510741089,0.18423195022857194,0.0,,0.0,,0.5399825871509369,0.5399825871509369
kruskal_only,100,100,933,96,50,0.04721610003616661,0.03759229998104274,0.012544299999717623,0.04571829998167232,0.1430709999985993,0.13609836183536345,0.867815652283051,,18.66,0.18848484848484848,1.0,1.0,2.0,0.02,0.02,0.1627734389426085,0.03316070510741089,0.18423195022857194,0.0,,0.0,,0.5399825871509369,0.5399825871509369
pipeline,200,197,1884,188,99,0.31640569999581203,0.09776340000098571,0.026604600017890334,0.08488149999175221,0.5256552000064403,0.19422129165504787,0.8552074397915107,,19.126903553299492,0.09758624261887495,1.0,1.0,2.0,0.010101010101010102,0.01015228426395939,0.1347002485237691,0.03292682783499991,0.1289428408581225,0.0,,0.0,0.004894874696796783,0.5600992446659986,0.5600992446659986
pipeline,200,197,1884,188,99,0.32252889999654144,0.07933779997983947,0.024995599989779294,0.09341050003422424,0.5202728000003844,0.19422129165504787,0.8552074397915107,,19.126903553299492,0.09758624261887495,1.0,1.0,2.0,0.010101010101010102,0.01015228426395939,0.1347002485237691,0.03292682783499991,0.1289428408581225,0.0,,0.0,0.004894874696796783,0.5600992446659986,0.5600992446659986
canopy_only,200,197,0,188,188,0.34517939999932423,0.0,0.0,0.0,0.34517939999932423,,,,,,,,,,,,,,,,,,,
canopy_only,200,197,0,188,188,0.29432029998861253,0.0,0.0,0.0,0.29432029998861253,,,,,,,,,,,,,,,,,,,
