mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,silhouette_score,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
kruskal_only,200,197,1889,188,99,0.2594511999632232,0.0920868000248447,0.028379199968185276,0.10480370000004768,0.48472089995630085,0.17683758394857452,0.8761483170300381,,19.17766497461929,0.09784522946234331,1.0,1.0,2.0,0.010101010101010102,0.01015228426395939,0.16234610948668002,0.03864656155896918,0.14232540264616622,0.0,,0.0,,0.4893985634795399,0.4893985634795399
kruskal_only,200,197,1889,188,99,0.31277649995172396,0.08771680004429072,0.02996090002125129,0.11193369998363778,0.5423879000009038,0.17683758394857452,0.8761483170300381,,19.17766497461929,0.09784522946234331,1.0,1.0,2.0,0.010101010101010102,0.01015228426395939,0.16234610948668002,0.03864656155896918,0.14232540264616622,0.0,,0.0,,0.4893985634795399,0.4893985634795399
pipeline,329,313,3169,291,157,1.06056199996965,0.19792270002653822,0.05212880001636222,0.14418520004255697,1.4547987000551075,0.11499968345237091,0.8687689023769718,,20.249201277955272,0.06490128614729254,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.06111157052358723,0.01592313383019755,0.051362641258239305,0.00022747952684258415,,0.0,0.013834606371944046,0.4632005115216817,0.4632005115216817
pipeline,329,313,3169,291,157,1.0200205000001006,0.1675171999959275,0.05521379999117926,0.14603489998262376,1.388786399969831,0.11499968345237091,0.8687689023769718,,20.249201277955272,0.06490128614729254,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.06111157052358723,0.01592313383019755,0.051362641258239305,0.00022747952684258415,,0.0,0.013834606371944046,0.4632005115216817,0.4632005115216817
canopy_only,329,313,0,291,291,0.9604397999937646,0.0,0.0,0.0,0.9604397999937646,,,,,,,,,,,,,,,,,,,
canopy_only,329,313,0,291,291,0.8200006999541074,0.0,0.0,0.0,0.8200006999541074,,,,,,,,,,,,,,,,,,,
kruskal_only,329,313,3191,291,157,0.9286733000189997,0.13766149996081367,0.04958650004118681,0.19046690000686795,1.3063882000278682,0.12639157253335176,0.8789383376623774,,20.389776357827476,0.06535184730072909,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.12211455532655249,0.03111740316480493,0.09600380551836073,0.0002837863404174812,,0.0,,0.48820785262323196,0.48820785262323196
kruskal_only,329,313,3191,291,157,0.8030474999686703,0.11812009999994189,0.042611600016243756,0.16581829998176545,1.1295974999666214,0.12639157253335176,0.8789383376623774,,20.389776357827476,0.06535184730072909,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.12211455532655249,0.03111740316480493,0.09600380551836073,0.0002837863404174812,,0.0,,0.48820785262323196,0.48820785262323196
pipeline,329,313,3169,291,157,0.8835703000077046,0.15457620000233874,0.045925999991595745,0.11056860000826418,1.1946411000099033,0.11499968345237091,0.8687689023769718,,20.249201277955272,0.06490128614729254,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.06111157052358723,0.01592313383019755,0.051362641258239305,0.00022747952684258415,,0.0,0.013834606371944046,0.4632005115216817,0.4632005115216817
pipeline,329,313,3169,291,157,0.7772553999675438,0.12422200001310557,0.04590570001164451,0.23233029997209087,1.1797133999643847,0.11499968345237091,0.8687689023769718,,20.249201277955272,0.06490128614729254,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.06111157052358723,0.01592313383019755,0.051362641258239305,0.00022747952684258415,,0.0,0.013834606371944046,0.4632005115216817,0.4632005115216817
canopy_only,329,313,0,291,291,0.8051815999788232,0.0,0.0,0.0,0.8051815999788232,,,,,,,,,,,,,,,,,,,
canopy_only,329,313,0,291,291,0.9940340999746695,0.0,0.0,0.0,0.9940340999746695,,,,,,,,,,,,,,,,,,,
kruskal_only,329,313,3191,291,157,0.9194035999826156,0.12476199999218807,0.041987899981904775,0.14202339999610558,1.228176899952814,0.12639157253335176,0.8789383376623774,,20.389776357827476,0.06535184730072909,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.12211455532655249,0.03111740316480493,0.09600380551836073,0.0002837863404174812,,0.0,,0.48820785262323196,0.48820785262323196
kruskal_only,329,313,3191,291,157,0.8563264000113122,0.11978660000022501,0.04219270002795383,0.14728599996306002,1.165591700002551,0.12639157253335176,0.8789383376623774,,20.389776357827476,0.06535184730072909,1.0,1.0,2.0,0.006369426751592357,0.006389776357827476,0.12211455532655249,0.03111740316480493,0.09600380551836073,0.0002837863404174812,,0.0,,0.48820785262323196,0.48820785262323196
