mode,requested_comments,n_comments,n_nodes,n_edges,n_canopies,n_clusters,fetch_sec,parse_sec,feature_prep_sec,preprocess_tfidf_sec,tfidf_sec,reduce_sec,ann_index_sec,ann_query_sec,ann_prefilter_sec,canopy_bruteforce_sec,canopy_assign_sec,canopy_cluster_sec,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,total_with_fetch_sec,modularity,conductance_mean,silhouette_score,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,100,100,98,911,22,49,88.72149089997401,0.0026174000231549144,0.0240761999739334,0.026693599997088313,0.023116399999707937,0.0009597999742254615,0.00396190001629293,0.001882700016722083,0.005844600033015013,0.00011299998732283711,0.00015170004917308688,0.000264700036495924,0.041177399980369955,0.06107960001099855,0.021338599966838956,0.03727110003819689,0.16348410001955926,88.88497499999357,0.06967183891539858,0.5065737925799729,,18.591836734693878,0.1916684199452977,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.021068937428484393,0.022437409718356543,0.00974363577301751,0.0,,0.0,0.3966237777710278,0.6537718399345759,0.6537718399345759
pipeline,100,100,98,911,22,49,88.72149089997401,0.0018700999789871275,0.024460299988277256,0.026330399967264384,0.02406249998603016,0.0003978000022470951,0.0036771000013686717,0.0013948999112471938,0.0050719999126158655,4.710000939667225e-05,9.519996820017695e-05,0.0001422999775968492,0.030741399968974292,0.10058800003025681,0.018993100035004318,0.043273799994494766,0.1954664000077173,88.91695729998173,0.06967183891539858,0.5065737925799729,,18.591836734693878,0.1916684199452977,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.021068937428484393,0.022437409718356543,0.00974363577301751,0.0,,0.0,0.3966237777710278,0.6537718399345759,0.6537718399345759
canopy_only,100,100,98,0,22,22,88.72149089997401,0.0019126000115647912,0.02538259996799752,0.027295199979562312,0.024817199970129877,0.0005653999978676438,0.004340200044680387,0.002455799956806004,0.006796000001486391,6.609997944906354e-05,0.00019390002125874162,0.00026000000070780516,0.03362669999478385,0.0,0.0,0.0,0.03553930000634864,88.75703019998036,,,,,,,,,,,,,,,,,,,
canopy_only,100,100,98,0,22,22,88.72149089997401,0.00212309998460114,0.0230656000203453,0.02518870000494644,0.02216920000500977,0.00089640001533553,0.0038179000257514417,0.0014181999140419066,0.005236099939793348,5.019997479394078e-05,9.77001036517322e-05,0.000147900078445673,0.029417600017040968,0.0,0.0,0.0,0.03154070000164211,88.75303159997566,,,,,,,,,,,,,,,,,,,
kruskal_only,100,100,98,921,22,49,88.72149089997401,0.002250599965918809,0.021800699993036687,0.024051299958955497,0.021082599996589124,0.0007180999964475632,0.004356599994935095,0.0023332000710070133,0.006689800065942109,6.499997107312083e-05,0.00014370022108778358,0.0002087001921609044,0.029942200053483248,0.0628162000211887,0.02412949997233227,0.04852589999791235,0.16766440001083538,88.88915529998485,0.06486420022478669,0.5440144305844358,,18.79591836734694,0.19377235430254577,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.02135226346904536,0.022437409718356543,0.00974363577301751,0.0,,0.0,,0.6537718399345759,0.6537718399345759
kruskal_only,100,100,98,921,22,49,88.72149089997401,0.0019275000086054206,0.022580399992875755,0.024507900001481175,0.022031000000424683,0.0005493999924510717,0.004296200000680983,0.0022175999474711716,0.006513799948152155,6.530003156512976e-05,0.00014220003504306078,0.00020750006660819054,0.030483299982734025,0.05911009997362271,0.02524370001628995,0.0629283000016585,0.1796928999829106,88.90118379995693,0.06486420022478669,0.5440144305844358,,18.79591836734694,0.19377235430254577,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.02135226346904536,0.022437409718356543,0.00974363577301751,0.0,,0.0,,0.6537718399345759,0.6537718399345759
pipeline,200,200,197,1879,57,99,24.75683349999599,0.0027364999987185,0.03078599995933473,0.03352249995805323,0.029981899948325008,0.000804100011009723,0.01928890001727268,0.00802269991254434,0.02731159992981702,0.0023386000539176166,0.00034960004268214107,0.0026882000965997577,0.0619594999589026,0.09814050002023578,0.03020380000816658,0.07262900000205263,0.2656692999880761,25.022502799984068,0.06795697075674802,0.7066322202739699,,19.076142131979694,0.09732725577540662,1.0,1.0,3.0,0.010101010101010102,0.015228426395939087,0.03026190598055394,0.01708704882165215,0.022658254063155258,0.0,,0.0,0.565665504317323,0.6620382423630186,0.6639879455865016
pipeline,200,200,197,1879,57,99,24.75683349999599,0.0027151000103913248,0.03570359997684136,0.038418699987232685,0.035213999974075705,0.0004896000027656555,0.01683089998550713,0.007518800150137395,0.024349700135644525,0.00022059999173507094,0.0002445999998599291,0.00046519999159500003,0.061630900017917156,0.14563430001726374,0.0433506999979727,0.10476180003024638,0.3580928000737913,25.114926300069783,0.06795697075674802,0.7066322202739699,,19.076142131979694,0.09732725577540662,1.0,1.0,3.0,0.010101010101010102,0.015228426395939087,0.03026190598055394,0.01708704882165215,0.022658254063155258,0.0,,0.0,0.565665504317323,0.6620382423630186,0.6639879455865016
canopy_only,200,200,197,0,57,57,24.75683349999599,0.004489500017371029,0.05051710002589971,0.05500660004327074,0.04977780004264787,0.0007392999832518399,0.017763399984687567,0.009642999910283834,0.0274063998949714,0.0002712999703362584,0.0003188000409863889,0.0005901000113226473,0.07962480001151562,0.0,0.0,0.0,0.08411430002888665,24.84094780002488,,,,,,,,,,,,,,,,,,,
canopy_only,200,200,197,0,57,57,24.75683349999599,0.002988699998240918,0.03371189994504675,0.03670059994328767,0.03313319996232167,0.0005786999827250838,0.01788870000746101,0.008329200092703104,0.026217900100164115,0.0002144999452866614,0.0003269998705945909,0.0005414998158812523,0.061743500002194196,0.0,0.0,0.0,0.06473220000043511,24.821565699996427,,,,,,,,,,,,,,,,,,,
