mode,requested_comments,n_comments,n_nodes,n_edges,n_canopies,n_clusters,fetch_sec,parse_sec,feature_prep_sec,preprocess_tfidf_sec,tfidf_sec,reduce_sec,ann_index_sec,ann_query_sec,ann_prefilter_sec,canopy_bruteforce_sec,canopy_assign_sec,canopy_cluster_sec,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,total_with_fetch_sec,modularity,conductance_mean,silhouette_score,silhouette_samples,silhouette_clusters,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score,quality_interpretation
pipeline,100,100,98,916,24,49,23.591597100021318,0.0035358999739401042,0.025362799991853535,0.02889869996579364,0.024588300031609833,0.0007744999602437019,0.004657700017560273,0.002495099848601967,0.0071527998661622405,0.000109999964479357,0.00017220008885487914,0.00028220005333423615,0.038689799956046045,0.0600053999805823,0.026189099997282028,0.0425556999980472,0.17097589990589768,23.762572999927215,0.10645475866706987,0.5297552113098196,0.25011769961831787,57.0,8.0,18.693877551020407,0.19272038712392173,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.06518760870642441,0.05481586773806567,0.03388531239421374,0.0,,0.0,0.5203273362712033,0.6537718399345759,0.6537718399345759,Terbentuk sekitar 49 cluster; struktur komunitas sedang; pemisahan cluster cukup jelas; isolasi cluster sedang.
pipeline,100,100,98,916,24,49,23.591597100021318,0.001608800026588142,0.01830970001174137,0.019918500038329512,0.017871399992145598,0.00043830001959577203,0.0042845000280067325,0.002082000020891428,0.0063665000488981605,7.120001828297973e-05,0.0001572000328451395,0.00022840005112811923,0.025975900003686547,0.04481499997200444,0.0194222999853082,0.0379333000164479,0.12975530000403523,23.721352400025353,0.10645475866706987,0.5297552113098196,0.25011769961831787,57.0,8.0,18.693877551020407,0.19272038712392173,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.06518760870642441,0.05481586773806567,0.03388531239421374,0.0,,0.0,0.5203273362712033,0.6537718399345759,0.6537718399345759,Terbentuk sekitar 49 cluster; struktur komunitas sedang; pemisahan cluster cukup jelas; isolasi cluster sedang.
canopy_only,100,100,98,0,24,24,23.591597100021318,0.0015711999731138349,0.019575499987695366,0.0211466999608092,0.018999299965798855,0.0005762000218965113,0.004677099990658462,0.002522400114685297,0.007199500105343759,0.0001401000190526247,0.00020340009359642863,0.00034350011264905334,0.028334899980109185,0.0,0.0,0.0,0.02990609995322302,23.62150319997454,,,0.6270642950783064,52.0,24.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 24 cluster; pemisahan cluster sangat baik.
canopy_only,100,100,98,0,24,24,23.591597100021318,0.0018663000082597136,0.0189024000428617,0.020768700051121414,0.01851300004636869,0.0003893999964930117,0.004164600046351552,0.0015881999861449003,0.005752800032496452,4.919996717944741e-05,9.949994273483753e-05,0.00014869990991428494,0.025780600029975176,0.0,0.0,0.0,0.02764690003823489,23.619244000059552,,,0.6270642950783064,52.0,24.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 24 cluster; pemisahan cluster sangat baik.
kruskal_only,100,100,98,923,24,49,23.591597100021318,0.0019376999698579311,0.01842700003180653,0.02036470000166446,0.018001000047661364,0.0004259999841451645,0.003844599996227771,0.001774800126440823,0.005619400122668594,5.299999611452222e-05,0.0001324999611824751,0.0001854999572969973,0.02554869995219633,0.04601449996698648,0.01474200002849102,0.048192599962931126,0.13643549988046288,23.72803259990178,0.09329455300528151,0.5430680642759106,0.22047275809205227,57.0,8.0,18.836734693877553,0.19419314117399536,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.05284531358702311,0.05341456215438139,0.023481250097915178,0.0,,0.0,,0.6537718399345759,0.6537718399345759,Terbentuk sekitar 49 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster sedang.
kruskal_only,100,100,98,923,24,49,23.591597100021318,0.007229599985294044,0.018219499965198338,0.025449099950492382,0.017786899989005178,0.0004325999761931598,0.003659199981484562,0.0015649000415578485,0.005224100023042411,4.579999949783087e-05,0.00010269979247823358,0.00014849979197606444,0.024543299979995936,0.042555399995762855,0.012987499998416752,0.044093500007875264,0.13140929996734485,23.723006399988662,0.09329455300528151,0.5430680642759106,0.22047275809205227,57.0,8.0,18.836734693877553,0.19419314117399536,1.0,1.0,2.0,0.02040816326530612,0.02040816326530612,0.05284531358702311,0.05341456215438139,0.023481250097915178,0.0,,0.0,,0.6537718399345759,0.6537718399345759,Terbentuk sekitar 49 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster sedang.
pipeline,200,200,193,1871,33,97,21.288687299995217,0.003068000019993633,0.029996900004334748,0.03306490002432838,0.029460499994456768,0.0005364000098779798,0.040313499979674816,0.009366500016767532,0.04967999999644235,0.00018849998014047742,0.000267299881670624,0.00045579986181110144,0.08137229998828843,0.10075659997528419,0.03235860000131652,0.06391680001979694,0.2814723000046797,21.570159599999897,0.04969724480094416,0.726205135461311,0.11922043623042726,94.0,4.0,19.38860103626943,0.10098229706390328,1.0,1.0,2.0,0.010309278350515464,0.010362694300518135,0.008015952846952924,0.0009758201516826345,0.010310539786085276,0.0,,0.0,0.5013176310019222,0.4055651534285094,0.4055651534285094,Terbentuk sekitar 97 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster lemah.
pipeline,200,200,193,1871,33,97,21.288687299995217,0.0031507000094279647,0.03402239998104051,0.03717309999046847,0.033569499966688454,0.0004529000143520534,0.016514500021003187,0.003371599887032062,0.01988609990803525,0.00011139997513964772,0.00014479999663308263,0.00025619997177273035,0.05546359997242689,0.09274799999548122,0.03260979999322444,0.09498100000200793,0.27895309997256845,21.567640399967786,0.04969724480094416,0.726205135461311,0.11922043623042726,94.0,4.0,19.38860103626943,0.10098229706390328,1.0,1.0,2.0,0.010309278350515464,0.010362694300518135,0.008015952846952924,0.0009758201516826345,0.010310539786085276,0.0,,0.0,0.5013176310019222,0.4055651534285094,0.4055651534285094,Terbentuk sekitar 97 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster lemah.
canopy_only,200,200,193,0,33,33,21.288687299995217,0.0028784999740310013,0.049609399982728064,0.052487899956759065,0.049026899971067905,0.0005825000116601586,0.01366629998665303,0.004727699852082878,0.01839399983873591,0.00018209993140771985,0.0002090999623760581,0.00039119989378377795,0.06983160000527278,0.0,0.0,0.0,0.07271009997930378,21.36139739997452,,,0.6886829459343412,76.0,33.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 33 cluster; pemisahan cluster sangat baik.
canopy_only,200,200,193,0,33,33,21.288687299995217,0.0033860999974422157,0.03513129998464137,0.03851739998208359,0.03459300001850352,0.0005382999661378562,0.013567300047725439,0.003421399975195527,0.016988700022920966,0.00013299996498972178,0.0002128001651726663,0.0003458001301623881,0.053459600021597,0.0,0.0,0.0,0.056845700019039214,21.345533000014257,,,0.6886829459343412,76.0,33.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 33 cluster; pemisahan cluster sangat baik.
