mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,silhouette_score,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,100,100,963,44,50,0.11050969996722415,0.07866130000911653,0.027788400009740144,0.053031800023745745,0.26999120000982657,0.4779274325691258,0.5055472365139312,,19.26,0.19454545454545455,1.0,2.0,16.0,0.04,0.16,0.0895036287960379,0.06573916302267929,0.07211562177045666,0.0,,0.0,0.5466796419543556,0.6832307694848819,0.6965346465303142
pipeline,100,100,963,44,50,0.06442509999033064,0.06937919999472797,0.01818510005250573,0.06583279999904335,0.21782220003660768,0.4779274325691258,0.5055472365139312,,19.26,0.19454545454545455,1.0,2.0,16.0,0.04,0.16,0.0895036287960379,0.06573916302267929,0.07211562177045666,0.0,,0.0,0.5466796419543556,0.6832307694848819,0.6965346465303142
canopy_only,100,100,0,44,44,0.05625760002294555,0.0,0.0,0.0,0.05625760002294555,,,,,,,,,,,,,,,,,,,
canopy_only,100,100,0,44,44,0.0522239999845624,0.0,0.0,0.0,0.0522239999845624,,,,,,,,,,,,,,,,,,,
kruskal_only,100,100,970,44,50,0.056497399986255914,0.050086600007489324,0.015529599972069263,0.06317249999847263,0.18528609996428713,0.3569098474449669,0.6865819202764138,,19.4,0.19595959595959597,1.0,1.0,3.0,0.02,0.03,0.14241142393483566,0.06671037471838553,0.11483954038829289,0.0,,0.0,,0.6161317176371351,0.6211914770142843
kruskal_only,100,100,970,44,50,0.05385650001699105,0.17502500000409782,0.04257940000388771,0.14575099997455254,0.4172118999995291,0.3569098474449669,0.6865819202764138,,19.4,0.19595959595959597,1.0,1.0,3.0,0.02,0.03,0.14241142393483566,0.06671037471838553,0.11483954038829289,0.0,,0.0,,0.6161317176371351,0.6211914770142843
pipeline,200,197,1917,55,99,0.10695200000191107,0.1905888000037521,0.05963720002910122,0.13167569995857775,0.48885369999334216,0.4421285887875118,0.5837924521345156,,19.461928934010153,0.09929555578576608,1.0,3.0,7.0,0.030303030303030304,0.03553299492385787,0.071273889723467,0.04834586919051974,0.05155609767804476,0.0,,0.0,0.5725551699797228,0.6079745048354551,0.6636347631563946
pipeline,200,197,1917,55,99,0.07232269999803975,0.15601229999447241,0.057534699968528,0.12305059999926016,0.4089202999603003,0.4421285887875118,0.5837924521345156,,19.461928934010153,0.09929555578576608,1.0,3.0,7.0,0.030303030303030304,0.03553299492385787,0.071273889723467,0.04834586919051974,0.05155609767804476,0.0,,0.0,0.5725551699797228,0.6079745048354551,0.6636347631563946
canopy_only,200,197,0,55,55,0.11940789996879175,0.0,0.0,0.0,0.11940789996879175,,,,,,,,,,,,,,,,,,,
canopy_only,200,197,0,55,55,0.18973430001642555,0.0,0.0,0.0,0.18973430001642555,,,,,,,,,,,,,,,,,,,
kruskal_only,200,197,1950,55,99,0.14723509998293594,0.16467440000269562,0.05373929999768734,0.1761574000120163,0.5418061999953352,0.5387836662542231,0.6076552284969182,,19.79695431472081,0.1010048689526572,1.0,3.0,26.0,0.030303030303030304,0.1319796954314721,0.07692100070844853,0.049923554706434684,0.05656022483942708,0.0,,0.0,,0.6257132143586739,0.6636347631563946
kruskal_only,200,197,1950,55,99,0.07389419997343794,0.1352337999851443,0.044248900027014315,0.12294899998232722,0.37632589996792376,0.5387836662542231,0.6076552284969182,,19.79695431472081,0.1010048689526572,1.0,3.0,26.0,0.030303030303030304,0.1319796954314721,0.07692100070844853,0.049923554706434684,0.05656022483942708,0.0,,0.0,,0.6257132143586739,0.6636347631563946
pipeline,500,480,5409,115,240,0.17846219998318702,0.6938077000086196,0.14091469999402761,0.3494375000009313,1.3626220999867655,0.4886023580833352,0.6133124699037923,,22.5375,0.04705114822546973,1.0,4.0,32.0,0.016666666666666666,0.06666666666666667,0.050194058599015746,0.03658398862963779,0.03501608216048392,0.0001913265306122449,,0.0,0.8165207699816124,0.6200002417194943,0.6639754125300884
pipeline,500,480,5409,115,240,0.25773969996953383,0.27847690001362935,0.36423870001453906,0.38853120000567287,1.2889865000033751,0.4886023580833352,0.6133124699037923,,22.5375,0.04705114822546973,1.0,4.0,32.0,0.016666666666666666,0.06666666666666667,0.050194058599015746,0.03658398862963779,0.03501608216048392,0.0001913265306122449,,0.0,0.8165207699816124,0.6200002417194943,0.6639754125300884
canopy_only,500,480,0,115,115,0.14744810003321618,0.0,0.0,0.0,0.14744810003321618,,,,,,,,,,,,,,,,,,,
canopy_only,500,480,0,115,115,0.1436581999878399,0.0,0.0,0.0,0.1436581999878399,,,,,,,,,,,,,,,,,,,
kruskal_only,500,480,5481,115,240,0.17028369999025017,0.36525129998335615,0.15546849998645484,0.4644777000066824,1.1554811999667436,0.48918168375950405,0.7103120717487791,,22.8375,0.047677453027139875,1.0,3.0,6.0,0.0125,0.0125,0.05281123092851809,0.03256758626301112,0.040003404270329765,0.0001913265306122449,,0.0,,0.5639967158955077,0.5769593583897183
kruskal_only,500,480,5481,115,240,0.16488529997877777,0.29160709999268875,0.1347548000048846,0.32488969998667017,0.9161368999630213,0.48918168375950405,0.7103120717487791,,22.8375,0.047677453027139875,1.0,3.0,6.0,0.0125,0.0125,0.05281123092851809,0.03256758626301112,0.040003404270329765,0.0001913265306122449,,0.0,,0.5639967158955077,0.5769593583897183
pipeline,1000,953,11359,252,477,2.22131230001105,0.7002923999680206,0.27752220002003014,0.5909882000414655,3.790115100040566,0.33389204064409356,0.674269043406837,,23.83840503672613,0.02504034142513249,1.0,5.0,12.0,0.010482180293501049,0.012591815320041973,0.026556093928134815,0.01904377790040029,0.0217709689303416,0.00015282702413790198,,0.0,0.8500243461582153,0.6416958792843647,0.7540971387471227
pipeline,1000,953,11359,252,477,1.8491353999706917,0.7476242000120692,0.2617923999787308,0.6038625999935903,3.462414599955082,0.33389204064409356,0.674269043406837,,23.83840503672613,0.02504034142513249,1.0,5.0,12.0,0.010482180293501049,0.012591815320041973,0.026556093928134815,0.01904377790040029,0.0217709689303416,0.00015282702413790198,,0.0,0.8500243461582153,0.6416958792843647,0.7540971387471227
canopy_only,1000,953,0,252,252,1.61894429998938,0.0,0.0,0.0,1.61894429998938,,,,,,,,,,,,,,,,,,,
canopy_only,1000,953,0,252,252,1.7905502999783494,0.0,0.0,0.0,1.7905502999783494,,,,,,,,,,,,,,,,,,,
kruskal_only,1000,953,11448,252,477,1.6621708000311628,0.4853343000286259,0.20645840000361204,0.6489651000010781,3.002928600064479,0.3467744200408387,0.7795963114988718,,24.025183630640083,0.025236537427142946,1.0,4.0,9.0,0.008385744234800839,0.00944386149003148,0.042564134409872126,0.02320322808371214,0.03490886357821907,0.0032696357290330665,,0.0,,0.6214025325924312,0.7540971387471227
