id,label,canopy,comment_count,reply_count,mention_count,thread_count,total_likes,avg_likes,first_timestamp,last_timestamp,threads,text_sample
6643801147025096709,szavaf0,canopy_098,1,0,0,0,21,21.0,1774221554,1774221554,[],szavaf0
6646057147389231110,ii2hm1,canopy_349,1,0,0,0,4,4.0,1774216151,1774216151,[],Who wants Coffee ? ii2md
6647609787890106374,savingtheworld2017,canopy_047,1,0,0,0,120,120.0,1774216090,1774216090,[],Savingtheworld
6652900469893660677,asifkhan12233,canopy_086,1,0,0,0,114,114.0,1774217000,1774217000,[],We want peace in every where throughout the world asifkhan12233
6658566666366812166,ahmad_azhan,canopy_327,1,0,0,0,4,4.0,1774217536,1774217536,[],[Sticker] F ® Ahmad•K < / >
6669850252496093190,itsbrandonmax,canopy_001,1,0,0,0,5547,5547.0,1774215532,1774215532,[],May Allah protect everyone ❤️ Brandon Max
6677580356772938758,nomi143143143,canopy_264,1,0,0,0,0,0.0,1775097030,1775097030,[],[Sticker] Faizan RajPoo
6682417245623354373,shokrollahshafie,canopy_219,1,0,0,0,6,6.0,1774222452,1774222452,[],[Sticker] ☝️Choukiii🤌
6683425595843986438,tabskhan45,canopy_197,1,0,0,0,9,9.0,1774217845,1774217845,[],Tabz Khan
6687409942040757253,fskhan875,canopy_152,1,0,0,0,4,4.0,1774253882,1774253882,[],FAرOO&
6692237530606027782,prof_wonderful,canopy_218,1,0,0,0,5,5.0,1774215306,1774215306,[],Alex Mungai
6693961050361267206,najimtalhaoui,canopy_063,3,0,0,0,25,8.333333333333334,1774230197,1774230235,[],Najim Talhaoui Najim Talhaoui Najim Talhaoui
6700212094179394565,user0gk9j4n7dp,canopy_038,4,0,0,0,824,206.0,1774214735,1774214743,[],ـAMIR AMIR ـAMIR AMIR ـAMIR AMIR ـAMIR AMIR
6705803659719263237,asifsial75,canopy_061,1,0,0,0,33,33.0,1774219979,1774219979,[],Asif Sial
6716819951271248901,mobgfm,canopy_301,1,0,0,0,6,6.0,1774218929,1774218929,[],mob
6718433480264762373,iqbalmahmood63,canopy_058,1,0,0,0,17,17.0,1774216561,1774216561,[],Iqbal Mahmood467
6724040525831521286,hijab.ii,canopy_169,1,0,0,0,44,44.0,1774214819,1774214819,[],[Sticker] Nimra
6724242765444449285,nofudgegiven2,canopy_013,1,0,0,0,5,5.0,1774264868,1774264868,[],☄️ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ᅠᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ☄️︎⠀ ⠀ ⠀ ⠀☄️ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀☄️ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀☄️ᅠ☄️ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀☄️ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀☄️ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ☄️ ⠀ ⠀
6726460667836498950,mariocatani3,canopy_274,1,0,0,0,17,17.0,1774219201,1774219201,[],Mario Catani
6727371287482942469,maloekoe020,canopy_214,1,0,0,0,34,34.0,1774231258,1774231258,[],What's the issue here? Maluku
6727959454509532166,lafibini,canopy_128,1,0,0,0,6,6.0,1774227522,1774227522,[],Lafi Bini
6731392185419695110,yacine_bym,canopy_148,1,0,0,0,4,4.0,1774247158,1774247158,[],Yacine🇩🇿🇩🇿
6746031359683331077,alexispappas5,canopy_218,1,0,0,0,7,7.0,1774217885,1774217885,[],Alexis Pappas
6749961922102477830,naumankhan_96_,canopy_105,2,0,0,0,10,5.0,1774221770,1774221774,[],Nauman Nauman
6750661153691485189,mrsmorris90,canopy_360,1,0,0,0,0,0.0,1776308004,1776308004,[],I don't understand why people are happy that civilians have been injured. Would we be celebrating that American citizens got injured in attack because Trump is evil and started a war? mrsmorris90
6761373990138332165,crashcam1,canopy_013,1,0,1,0,4,4.0,1774445093,1774445093,[],"@SiddXFitness: ...:Yes more please
☄️ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ☄️ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀☄️ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀☄️ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀"
6761998434112144389,imraanmohomed,canopy_013,1,0,1,0,17,17.0,1774239320,1774239320,[],"@mun danial:@🫀🪨...:Yes more please
☄️ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ☄️ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀☄️ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀☄️ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀"
6762115865951437829,med_yaj1,canopy_249,1,0,0,0,4,4.0,1774227642,1774227642,[],[Sticker] Med_yaj
6763023633415521285,melodxxoo,canopy_374,1,0,0,0,0,0.0,1775158476,1775158476,[],What’s with the table and chairs 😳 Melody Dart
6765565991936377862,user783132655,canopy_050,1,0,0,0,88,88.0,1774217622,1774217622,[],user462720460936
6769282406316393477,shaunalexandermil,canopy_144,1,0,0,0,19,19.0,1774216997,1774216997,[],🇯🇲 Jamaican Villan 👽
6774446817130267654,ashtinbarberlol,canopy_205,1,0,0,0,4,4.0,1774221820,1774221820,[],Its_ashtin_lol
6781099370517070853,autowali,canopy_219,1,0,0,0,4,4.0,1774216386,1774216386,[],[Sticker] 🇵🇸 Wali 🇵🇸
6784603742592697350,yasser.313.1,canopy_000,1,0,0,0,4,4.0,1774355864,1774355864,[],( ͡° ͜ʖ ͡°)🇵🇸👆
6787077164376491014,pedromaxx,canopy_163,1,0,0,0,8,8.0,1774217961,1774217961,[],Pedro# Maxx
6787799755310842885,alic4c,canopy_201,1,0,0,0,16,16.0,1774231932,1774231932,[],[Sticker] علی قریشی
6788561594614137861,taco__belly,canopy_173,1,0,0,0,4,4.0,1774220967,1774220967,[],taco__belly
6791773227766940673,jonalyn0112,canopy_339,1,0,0,0,21,21.0,1774215613,1774215613,[],What about Palestine? Jonalyn Delos Reyes
6792274574055801861,zsb112233,canopy_299,1,0,0,0,6,6.0,1774219979,1774219979,[],ZseBe
6793797962901242885,badaixiii,canopy_012,1,0,0,0,791,791.0,1774215935,1774215935,[],"I, Dont care 2"
6795087729798661125,huzzlehard,canopy_311,2,0,0,0,10,5.0,1774216678,1774216765,[],[Sticker] Hustle_Hard [Sticker] Hustle_Hard
6797975222400320517,wakybaky1,canopy_012,1,0,0,0,0,0.0,1775854918,1775854918,[],Who cares wakybaky1
6799048483291677701,iamazeemi,canopy_217,1,0,0,0,22,22.0,1774226817,1774226817,[],[Sticker] Rain And Peace
