id,label,canopy,comment_count,reply_count,mention_count,thread_count,total_likes,avg_likes,first_timestamp,last_timestamp,threads,text_sample
123192684759916544,lareinecoeur,canopy_013,1,0,0,0,16,16.0,1774237852,1774237852,[],"Yes more please
☄️ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ☄️ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀☄️ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀☄️ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ "
132905031397322752,alessio2926,canopy_124,1,0,0,0,17,17.0,1774230909,1774230909,[],Alessio
277636453445046272,tetlock80,canopy_000,1,0,0,0,15,15.0,1774217514,1774217514,[],🇨🇦
6557891870416224258,meyomeo94,canopy_009,1,0,0,0,7174,7174.0,1774222334,1774222334,[],Meyo Meor
6565018648809078790,zhyqr,canopy_031,1,0,0,0,31,31.0,1774367711,1774367711,[],WHO wants a follow back? 🌹🌹 zhyar • Following
6575934081941438469,roshan_bhardwaj,canopy_097,1,0,0,0,6,6.0,1774224209,1774224209,[],ok Roshan
6586144504133271558,zubairali_1,canopy_035,1,0,0,0,70,70.0,1774217671,1774217671,[],ZUBAIR
6627871200587038726,shah__salar07,canopy_020,1,0,0,0,139,139.0,1774384959,1774384959,[],May Allah Protect Muslims ❤️🤲 شاہ سالار 🇬🇧💖
6630176154991411206,sobi4014,canopy_037,1,0,0,0,31,31.0,1774228490,1774228490,[],What happened Sobhia 🖤
6643801147025096709,szavaf0,canopy_104,1,0,0,0,21,21.0,1774221554,1774221554,[],szavaf0
6647609787890106374,savingtheworld2017,canopy_048,1,0,0,0,120,120.0,1774216090,1774216090,[],Savingtheworld
6652900469893660677,asifkhan12233,canopy_091,1,0,0,0,114,114.0,1774217000,1774217000,[],We want peace in every where throughout the world asifkhan12233
6669850252496093190,itsbrandonmax,canopy_001,1,0,0,0,5547,5547.0,1774215532,1774215532,[],May Allah protect everyone ❤️ Brandon Max
