source,target,weight
123192684759916544,6570665680386457601,0.01603528785857705
123192684759916544,6761373990138332165,0.49869207668771187
123192684759916544,6761998434112144389,0.497489725973202
123192684759916544,6802111873555727361,0.4981898011818958
123192684759916544,6806764615436223494,0.015868296265702263
123192684759916544,6809360915122308101,0.49869207668771187
123192684759916544,6810336090362004485,0.016564675183369754
123192684759916544,6828012366325957638,0.016569699315079192
123192684759916544,6849714013304079366,0.4990082039991758
123192684759916544,6876111398716916738,0.49775170909564415
123192684759916544,6884611690841179138,0.016058501736470304
123192684759916544,6887161232442033153,0.498256330605109
123192684759916544,6917607474581406725,0.49848690915316196
123192684759916544,6945373217453425669,0.016593473940359663
123192684759916544,6975000026854687749,0.016399764130786358
123192684759916544,6977245355705156609,0.015885184681035704
123192684759916544,6982171632279634946,0.4987815165705223
123192684759916544,6990433306123682822,0.49949478712843504
123192684759916544,7002249998172046337,0.49832355980822546
123192684759916544,7006613667513418757,0.526412018760103
123192684759916544,7014981470109565957,0.4987815165705223
123192684759916544,7047494209448166401,0.4987815165705223
123192684759916544,7050498314663379974,0.49869207668771187
123192684759916544,7093023801574867969,0.49869207668771187
123192684759916544,7118597435305722926,0.016223954789473288
123192684759916544,7128070099412157442,0.49921740084489236
123192684759916544,7141833908052296709,0.49899008473696116
123192684759916544,7187952219559248898,0.4987417767242058
123192684759916544,7197284105015788549,0.4987815165705223
123192684759916544,7230689368007574534,0.4994947010372496
123192684759916544,7255307152083796994,0.4992801784674912
123192684759916544,7256202462158406658,0.49921740084489236
123192684759916544,7327226218813391877,0.4980393401188427
123192684759916544,7333933730745566213,0.016222376670979706
123192684759916544,7334272629450343470,0.016177206258409765
123192684759916544,7355557262863336453,0.4987345533731908
123192684759916544,7402984582746358816,0.49869207668771187
123192684759916544,7416287041577305094,0.016597345032521502
123192684759916544,7523591048695170064,0.49887508924084256
123192684759916544,7597512785483957259,0.49852312571044965
132905031397322752,6693961050361267206,0.016699125804954116
132905031397322752,6787799755310842885,0.0439026822497805
132905031397322752,6865687838509171718,0.014829646631114551
132905031397322752,6884269257367749633,0.01663787053764779
132905031397322752,6978785360063267846,0.019379752093729826
132905031397322752,6981842793023243270,0.0439026822497805
132905031397322752,6990299477060781061,0.015573198421212414
132905031397322752,7022490858335421441,0.015096750789414293
132905031397322752,7143638497873413126,0.014958650017900064
132905031397322752,7284057704728626181,0.01655731410869119
132905031397322752,7296163401382020102,0.015572577597144258
132905031397322752,7296760772994122757,0.015571483154534325
132905031397322752,7469354913887241217,0.026669144773154425
132905031397322752,7475477880530502689,0.016714709894496072
132905031397322752,7555788949694088210,0.01653003385676409
132905031397322752,7559878386093442056,0.0439026822497805
132905031397322752,7589457676943606796,0.01557309616484828
179836966824349696,6677580356772938758,0.014946461500733687
179836966824349696,6791773227766940673,0.030460107857796268
179836966824349696,6818925100223120390,0.016490284131169083
179836966824349696,6877092036177904642,0.015288486092226942
179836966824349696,6916463036367242245,0.032401355854877134
179836966824349696,7009641336668161030,0.04912700028397093
179836966824349696,7059866762607690753,0.014476801797660812
179836966824349696,7094760895809684485,0.013188496871358093
179836966824349696,7189496226865267717,0.013145085364176303
179836966824349696,7192962788661724165,0.016389251563141312
179836966824349696,7253090810513097730,0.04394310826976926
179836966824349696,7267394392368514053,0.025368549958064167
179836966824349696,7282457131139646497,0.0063418692871619895
179836966824349696,7297933972808729632,0.013636389974253094
179836966824349696,7403666842986546209,0.008621364265322735
